ibge7,ibge6,municipio,uf,mesorregiao,microrregiao
1100015,110001,Alta Floresta D'Oeste,RO,Leste Rondoniense,Cacoal
1100023,110002,Ariquemes,RO,Leste Rondoniense,Ariquemes
1100031,110003,Cabixi,RO,Leste Rondoniense,Colorado do Oeste
1100049,110004,Cacoal,RO,Leste Rondoniense,Cacoal
1100056,110005,Cerejeiras,RO,Leste Rondoniense,Colorado do Oeste
1100064,110006,Colorado do Oeste,RO,Leste Rondoniense,Colorado do Oeste
1100072,110007,Corumbiara,RO,Leste Rondoniense,Colorado do Oeste
1100080,110008,Costa Marques,RO,Madeira-Guaporé,Guajará-Mirim
1100098,110009,Espigão D'Oeste,RO,Leste Rondoniense,Cacoal
1100106,110010,Guajará-Mirim,RO,Madeira-Guaporé,Guajará-Mirim
1100114,110011,Jaru,RO,Leste Rondoniense,Ji-Paraná
1100122,110012,Ji-Paraná,RO,Leste Rondoniense,Ji-Paraná
1100130,110013,Machadinho D'Oeste,RO,Leste Rondoniense,Ariquemes
1100148,110014,Nova Brasilândia D'Oeste,RO,Leste Rondoniense,Alvorada D'Oeste
1100155,110015,Ouro Preto do Oeste,RO,Leste Rondoniense,Ji-Paraná
1100189,110018,Pimenta Bueno,RO,Leste Rondoniense,Vilhena
1100205,110020,Porto Velho,RO,Madeira-Guaporé,Porto Velho
1100254,110025,Presidente Médici,RO,Leste Rondoniense,Ji-Paraná
1100262,110026,Rio Crespo,RO,Leste Rondoniense,Ariquemes
1100288,110028,Rolim de Moura,RO,Leste Rondoniense,Cacoal
1100296,110029,Santa Luzia D'Oeste,RO,Leste Rondoniense,Cacoal
1100304,110030,Vilhena,RO,Leste Rondoniense,Vilhena
1100320,110032,São Miguel do Guaporé,RO,Leste Rondoniense,Alvorada D'Oeste
1100338,110033,Nova Mamoré,RO,Madeira-Guaporé,Porto Velho
1100346,110034,Alvorada D'Oeste,RO,Leste Rondoniense,Alvorada D'Oeste
1100379,110037,Alto Alegre dos Parecis,RO,Leste Rondoniense,Cacoal
1100403,110040,Alto Paraíso,RO,Leste Rondoniense,Ariquemes
1100452,110045,Buritis,RO,Madeira-Guaporé,Porto Velho
1100502,110050,Novo Horizonte do Oeste,RO,Leste Rondoniense,Cacoal
1100601,110060,Cacaulândia,RO,Leste Rondoniense,Ariquemes
1100700,110070,Campo Novo de Rondônia,RO,Madeira-Guaporé,Porto Velho
1100809,110080,Candeias do Jamari,RO,Madeira-Guaporé,Porto Velho
1100908,110090,Castanheiras,RO,Leste Rondoniense,Cacoal
1100924,110092,Chupinguaia,RO,Leste Rondoniense,Vilhena
1100940,110094,Cujubim,RO,Madeira-Guaporé,Porto Velho
1101005,110100,Governador Jorge Teixeira,RO,Leste Rondoniense,Ji-Paraná
1101104,110110,Itapuã do Oeste,RO,Madeira-Guaporé,Porto Velho
1101203,110120,Ministro Andreazza,RO,Leste Rondoniense,Cacoal
1101302,110130,Mirante da Serra,RO,Leste Rondoniense,Ji-Paraná
1101401,110140,Monte Negro,RO,Leste Rondoniense,Ariquemes
1101435,110143,Nova União,RO,Leste Rondoniense,Ji-Paraná
1101450,110145,Parecis,RO,Leste Rondoniense,Vilhena
1101468,110146,Pimenteiras do Oeste,RO,Leste Rondoniense,Colorado do Oeste
1101476,110147,Primavera de Rondônia,RO,Leste Rondoniense,Vilhena
1101484,110148,São Felipe D'Oeste,RO,Leste Rondoniense,Vilhena
1101492,110149,São Francisco do Guaporé,RO,Madeira-Guaporé,Guajará-Mirim
1101500,110150,Seringueiras,RO,Leste Rondoniense,Alvorada D'Oeste
1101559,110155,Teixeirópolis,RO,Leste Rondoniense,Ji-Paraná
1101609,110160,Theobroma,RO,Leste Rondoniense,Ji-Paraná
1101708,110170,Urupá,RO,Leste Rondoniense,Ji-Paraná
1101757,110175,Vale do Anari,RO,Leste Rondoniense,Ariquemes
1101807,110180,Vale do Paraíso,RO,Leste Rondoniense,Ji-Paraná
1200013,120001,Acrelândia,AC,Vale do Acre,Rio Branco
1200054,120005,Assis Brasil,AC,Vale do Acre,Brasiléia
1200104,120010,Brasiléia,AC,Vale do Acre,Brasiléia
1200138,120013,Bujari,AC,Vale do Acre,Rio Branco
1200179,120017,Capixaba,AC,Vale do Acre,Rio Branco
1200203,120020,Cruzeiro do Sul,AC,Vale do Juruá,Cruzeiro do Sul
1200252,120025,Epitaciolândia,AC,Vale do Acre,Brasiléia
1200302,120030,Feijó,AC,Vale do Juruá,Tarauacá
1200328,120032,Jordão,AC,Vale do Juruá,Tarauacá
1200336,120033,Mâncio Lima,AC,Vale do Juruá,Cruzeiro do Sul
1200344,120034,Manoel Urbano,AC,Vale do Acre,Sena Madureira
1200351,120035,Marechal Thaumaturgo,AC,Vale do Juruá,Cruzeiro do Sul
1200385,120038,Plácido de Castro,AC,Vale do Acre,Rio Branco
1200393,120039,Porto Walter,AC,Vale do Juruá,Cruzeiro do Sul
1200401,120040,Rio Branco,AC,Vale do Acre,Rio Branco
1200427,120042,Rodrigues Alves,AC,Vale do Juruá,Cruzeiro do Sul
1200435,120043,Santa Rosa do Purus,AC,Vale do Acre,Sena Madureira
1200450,120045,Senador Guiomard,AC,Vale do Acre,Rio Branco
1200500,120050,Sena Madureira,AC,Vale do Acre,Sena Madureira
1200609,120060,Tarauacá,AC,Vale do Juruá,Tarauacá
1200708,120070,Xapuri,AC,Vale do Acre,Brasiléia
1200807,120080,Porto Acre,AC,Vale do Acre,Rio Branco
1300029,130002,Alvarães,AM,Centro Amazonense,Tefé
1300060,130006,Amaturá,AM,Sudoeste Amazonense,Alto Solimões
1300086,130008,Anamã,AM,Centro Amazonense,Coari
1300102,130010,Anori,AM,Centro Amazonense,Coari
1300144,130014,Apuí,AM,Sul Amazonense,Madeira
1300201,130020,Atalaia do Norte,AM,Sudoeste Amazonense,Alto Solimões
1300300,130030,Autazes,AM,Centro Amazonense,Manaus
1300409,130040,Barcelos,AM,Norte Amazonense,Rio Negro
1300508,130050,Barreirinha,AM,Centro Amazonense,Parintins
1300607,130060,Benjamin Constant,AM,Sudoeste Amazonense,Alto Solimões
1300631,130063,Beruri,AM,Centro Amazonense,Coari
1300680,130068,Boa Vista do Ramos,AM,Centro Amazonense,Parintins
1300706,130070,Boca do Acre,AM,Sul Amazonense,Boca do Acre
1300805,130080,Borba,AM,Sul Amazonense,Madeira
1300839,130083,Caapiranga,AM,Centro Amazonense,Coari
1300904,130090,Canutama,AM,Sul Amazonense,Purus
1301001,130100,Carauari,AM,Sudoeste Amazonense,Juruá
1301100,130110,Careiro,AM,Centro Amazonense,Manaus
1301159,130115,Careiro da Várzea,AM,Centro Amazonense,Manaus
1301209,130120,Coari,AM,Centro Amazonense,Coari
1301308,130130,Codajás,AM,Centro Amazonense,Coari
1301407,130140,Eirunepé,AM,Sudoeste Amazonense,Juruá
1301506,130150,Envira,AM,Sudoeste Amazonense,Juruá
1301605,130160,Fonte Boa,AM,Sudoeste Amazonense,Alto Solimões
1301654,130165,Guajará,AM,Sudoeste Amazonense,Juruá
1301704,130170,Humaitá,AM,Sul Amazonense,Madeira
1301803,130180,Ipixuna,AM,Sudoeste Amazonense,Juruá
1301852,130185,Iranduba,AM,Centro Amazonense,Manaus
1301902,130190,Itacoatiara,AM,Centro Amazonense,Itacoatiara
1301951,130195,Itamarati,AM,Sudoeste Amazonense,Juruá
1302009,130200,Itapiranga,AM,Centro Amazonense,Itacoatiara
1302108,130210,Japurá,AM,Norte Amazonense,Japurá
1302207,130220,Juruá,AM,Sudoeste Amazonense,Juruá
1302306,130230,Jutaí,AM,Sudoeste Amazonense,Alto Solimões
1302405,130240,Lábrea,AM,Sul Amazonense,Purus
1302504,130250,Manacapuru,AM,Centro Amazonense,Manaus
1302553,130255,Manaquiri,AM,Centro Amazonense,Manaus
1302603,130260,Manaus,AM,Centro Amazonense,Manaus
1302702,130270,Manicoré,AM,Sul Amazonense,Madeira
1302801,130280,Maraã,AM,Norte Amazonense,Japurá
1302900,130290,Maués,AM,Centro Amazonense,Parintins
1303007,130300,Nhamundá,AM,Centro Amazonense,Parintins
1303106,130310,Nova Olinda do Norte,AM,Centro Amazonense,Itacoatiara
1303205,130320,Novo Airão,AM,Norte Amazonense,Rio Negro
1303304,130330,Novo Aripuanã,AM,Sul Amazonense,Madeira
1303403,130340,Parintins,AM,Centro Amazonense,Parintins
1303502,130350,Pauini,AM,Sul Amazonense,Boca do Acre
1303536,130353,Presidente Figueiredo,AM,Centro Amazonense,Rio Preto da Eva
1303569,130356,Rio Preto da Eva,AM,Centro Amazonense,Rio Preto da Eva
1303601,130360,Santa Isabel do Rio Negro,AM,Norte Amazonense,Rio Negro
1303700,130370,Santo Antônio do Içá,AM,Sudoeste Amazonense,Alto Solimões
1303809,130380,São Gabriel da Cachoeira,AM,Norte Amazonense,Rio Negro
1303908,130390,São Paulo de Olivença,AM,Sudoeste Amazonense,Alto Solimões
1303957,130395,São Sebastião do Uatumã,AM,Centro Amazonense,Parintins
1304005,130400,Silves,AM,Centro Amazonense,Itacoatiara
1304062,130406,Tabatinga,AM,Sudoeste Amazonense,Alto Solimões
1304104,130410,Tapauá,AM,Sul Amazonense,Purus
1304203,130420,Tefé,AM,Centro Amazonense,Tefé
1304237,130423,Tonantins,AM,Sudoeste Amazonense,Alto Solimões
1304260,130426,Uarini,AM,Centro Amazonense,Tefé
1304302,130430,Urucará,AM,Centro Amazonense,Parintins
1304401,130440,Urucurituba,AM,Centro Amazonense,Itacoatiara
1400027,140002,Amajari,RR,Norte de Roraima,Boa Vista
1400050,140005,Alto Alegre,RR,Norte de Roraima,Boa Vista
1400100,140010,Boa Vista,RR,Norte de Roraima,Boa Vista
1400159,140015,Bonfim,RR,Norte de Roraima,Nordeste de Roraima
1400175,140017,Cantá,RR,Norte de Roraima,Nordeste de Roraima
1400209,140020,Caracaraí,RR,Sul de Roraima,Caracaraí
1400233,140023,Caroebe,RR,Sul de Roraima,Sudeste de Roraima
1400282,140028,Iracema,RR,Sul de Roraima,Caracaraí
1400308,140030,Mucajaí,RR,Sul de Roraima,Caracaraí
1400407,140040,Normandia,RR,Norte de Roraima,Nordeste de Roraima
1400456,140045,Pacaraima,RR,Norte de Roraima,Boa Vista
1400472,140047,Rorainópolis,RR,Sul de Roraima,Sudeste de Roraima
1400506,140050,São João da Baliza,RR,Sul de Roraima,Sudeste de Roraima
1400605,140060,São Luiz,RR,Sul de Roraima,Sudeste de Roraima
1400704,140070,Uiramutã,RR,Norte de Roraima,Nordeste de Roraima
1500107,150010,Abaetetuba,PA,Nordeste Paraense,Cametá
1500131,150013,Abel Figueiredo,PA,Sudeste Paraense,Paragominas
1500206,150020,Acará,PA,Nordeste Paraense,Tomé-Açu
1500305,150030,Afuá,PA,Marajó,Furos de Breves
1500347,150034,Água Azul do Norte,PA,Sudeste Paraense,Parauapebas
1500404,150040,Alenquer,PA,Baixo Amazonas,Santarém
1500503,150050,Almeirim,PA,Baixo Amazonas,Almeirim
1500602,150060,Altamira,PA,Sudoeste Paraense,Altamira
1500701,150070,Anajás,PA,Marajó,Furos de Breves
1500800,150080,Ananindeua,PA,Metropolitana de Belém,Belém
1500859,150085,Anapu,PA,Sudoeste Paraense,Altamira
1500909,150090,Augusto Corrêa,PA,Nordeste Paraense,Bragantina
1500958,150095,Aurora do Pará,PA,Nordeste Paraense,Guamá
1501006,150100,Aveiro,PA,Sudoeste Paraense,Itaituba
1501105,150110,Bagre,PA,Marajó,Portel
1501204,150120,Baião,PA,Nordeste Paraense,Cametá
1501253,150125,Bannach,PA,Sudeste Paraense,São Félix do Xingu
1501303,150130,Barcarena,PA,Metropolitana de Belém,Belém
1501402,150140,Belém,PA,Metropolitana de Belém,Belém
1501451,150145,Belterra,PA,Baixo Amazonas,Santarém
1501501,150150,Benevides,PA,Metropolitana de Belém,Belém
1501576,150157,Bom Jesus do Tocantins,PA,Sudeste Paraense,Paragominas
1501600,150160,Bonito,PA,Nordeste Paraense,Bragantina
1501709,150170,Bragança,PA,Nordeste Paraense,Bragantina
1501725,150172,Brasil Novo,PA,Sudoeste Paraense,Altamira
1501758,150175,Brejo Grande do Araguaia,PA,Sudeste Paraense,Marabá
1501782,150178,Breu Branco,PA,Sudeste Paraense,Tucuruí
1501808,150180,Breves,PA,Marajó,Furos de Breves
1501907,150190,Bujaru,PA,Metropolitana de Belém,Castanhal
1501956,150195,Cachoeira do Piriá,PA,Nordeste Paraense,Guamá
1502004,150200,Cachoeira do Arari,PA,Marajó,Arari
1502103,150210,Cametá,PA,Nordeste Paraense,Cametá
1502152,150215,Canaã dos Carajás,PA,Sudeste Paraense,Parauapebas
1502202,150220,Capanema,PA,Nordeste Paraense,Bragantina
1502301,150230,Capitão Poço,PA,Nordeste Paraense,Guamá
1502400,150240,Castanhal,PA,Metropolitana de Belém,Castanhal
1502509,150250,Chaves,PA,Marajó,Arari
1502608,150260,Colares,PA,Nordeste Paraense,Salgado
1502707,150270,Conceição do Araguaia,PA,Sudeste Paraense,Conceição do Araguaia
1502756,150275,Concórdia do Pará,PA,Nordeste Paraense,Tomé-Açu
1502764,150276,Cumaru do Norte,PA,Sudeste Paraense,São Félix do Xingu
1502772,150277,Curionópolis,PA,Sudeste Paraense,Parauapebas
1502806,150280,Curralinho,PA,Marajó,Furos de Breves
1502855,150285,Curuá,PA,Baixo Amazonas,Santarém
1502905,150290,Curuçá,PA,Nordeste Paraense,Salgado
1502939,150293,Dom Eliseu,PA,Sudeste Paraense,Paragominas
1502954,150295,Eldorado do Carajás,PA,Sudeste Paraense,Parauapebas
1503002,150300,Faro,PA,Baixo Amazonas,Óbidos
1503044,150304,Floresta do Araguaia,PA,Sudeste Paraense,Conceição do Araguaia
1503077,150307,Garrafão do Norte,PA,Nordeste Paraense,Guamá
1503093,150309,Goianésia do Pará,PA,Sudeste Paraense,Paragominas
1503101,150310,Gurupá,PA,Marajó,Portel
1503200,150320,Igarapé-Açu,PA,Nordeste Paraense,Bragantina
1503309,150330,Igarapé-Miri,PA,Nordeste Paraense,Cametá
1503408,150340,Inhangapi,PA,Metropolitana de Belém,Castanhal
1503457,150345,Ipixuna do Pará,PA,Nordeste Paraense,Guamá
1503507,150350,Irituia,PA,Nordeste Paraense,Guamá
1503606,150360,Itaituba,PA,Sudoeste Paraense,Itaituba
1503705,150370,Itupiranga,PA,Sudeste Paraense,Tucuruí
1503754,150375,Jacareacanga,PA,Sudoeste Paraense,Itaituba
1503804,150380,Jacundá,PA,Sudeste Paraense,Tucuruí
1503903,150390,Juruti,PA,Baixo Amazonas,Óbidos
1504000,150400,Limoeiro do Ajuru,PA,Nordeste Paraense,Cametá
1504059,150405,Mãe do Rio,PA,Nordeste Paraense,Guamá
1504109,150410,Magalhães Barata,PA,Nordeste Paraense,Salgado
1504208,150420,Marabá,PA,Sudeste Paraense,Marabá
1504307,150430,Maracanã,PA,Nordeste Paraense,Salgado
1504406,150440,Marapanim,PA,Nordeste Paraense,Salgado
1504422,150442,Marituba,PA,Metropolitana de Belém,Belém
1504455,150445,Medicilândia,PA,Sudoeste Paraense,Altamira
1504505,150450,Melgaço,PA,Marajó,Portel
1504604,150460,Mocajuba,PA,Nordeste Paraense,Cametá
1504703,150470,Moju,PA,Nordeste Paraense,Tomé-Açu
1504752,150475,Mojuí dos Campos,PA,Baixo Amazonas,Santarém
1504802,150480,Monte Alegre,PA,Baixo Amazonas,Santarém
1504901,150490,Muaná,PA,Marajó,Arari
1504950,150495,Nova Esperança do Piriá,PA,Nordeste Paraense,Guamá
1504976,150497,Nova Ipixuna,PA,Sudeste Paraense,Tucuruí
1505007,150500,Nova Timboteua,PA,Nordeste Paraense,Bragantina
1505031,150503,Novo Progresso,PA,Sudoeste Paraense,Itaituba
1505064,150506,Novo Repartimento,PA,Sudeste Paraense,Tucuruí
1505106,150510,Óbidos,PA,Baixo Amazonas,Óbidos
1505205,150520,Oeiras do Pará,PA,Nordeste Paraense,Cametá
1505304,150530,Oriximiná,PA,Baixo Amazonas,Óbidos
1505403,150540,Ourém,PA,Nordeste Paraense,Guamá
1505437,150543,Ourilândia do Norte,PA,Sudeste Paraense,São Félix do Xingu
1505486,150548,Pacajá,PA,Sudoeste Paraense,Altamira
1505494,150549,Palestina do Pará,PA,Sudeste Paraense,Marabá
1505502,150550,Paragominas,PA,Sudeste Paraense,Paragominas
1505536,150553,Parauapebas,PA,Sudeste Paraense,Parauapebas
1505551,150555,Pau D'Arco,PA,Sudeste Paraense,Redenção
1505601,150560,Peixe-Boi,PA,Nordeste Paraense,Bragantina
1505635,150563,Piçarra,PA,Sudeste Paraense,Redenção
1505650,150565,Placas,PA,Baixo Amazonas,Santarém
1505700,150570,Ponta de Pedras,PA,Marajó,Arari
1505809,150580,Portel,PA,Marajó,Portel
1505908,150590,Porto de Moz,PA,Baixo Amazonas,Almeirim
1506005,150600,Prainha,PA,Baixo Amazonas,Santarém
1506104,150610,Primavera,PA,Nordeste Paraense,Bragantina
1506112,150611,Quatipuru,PA,Nordeste Paraense,Bragantina
1506138,150613,Redenção,PA,Sudeste Paraense,Redenção
1506161,150616,Rio Maria,PA,Sudeste Paraense,Redenção
1506187,150618,Rondon do Pará,PA,Sudeste Paraense,Paragominas
1506195,150619,Rurópolis,PA,Sudoeste Paraense,Itaituba
1506203,150620,Salinópolis,PA,Nordeste Paraense,Salgado
1506302,150630,Salvaterra,PA,Marajó,Arari
1506351,150635,Santa Bárbara do Pará,PA,Metropolitana de Belém,Belém
1506401,150640,Santa Cruz do Arari,PA,Marajó,Arari
1506500,150650,Santa Izabel do Pará,PA,Metropolitana de Belém,Castanhal
1506559,150655,Santa Luzia do Pará,PA,Nordeste Paraense,Guamá
1506583,150658,Santa Maria das Barreiras,PA,Sudeste Paraense,Conceição do Araguaia
1506609,150660,Santa Maria do Pará,PA,Nordeste Paraense,Bragantina
1506708,150670,Santana do Araguaia,PA,Sudeste Paraense,Conceição do Araguaia
1506807,150680,Santarém,PA,Baixo Amazonas,Santarém
1506906,150690,Santarém Novo,PA,Nordeste Paraense,Bragantina
1507003,150700,Santo Antônio do Tauá,PA,Metropolitana de Belém,Castanhal
1507102,150710,São Caetano de Odivelas,PA,Nordeste Paraense,Salgado
1507151,150715,São Domingos do Araguaia,PA,Sudeste Paraense,Marabá
1507201,150720,São Domingos do Capim,PA,Nordeste Paraense,Guamá
1507300,150730,São Félix do Xingu,PA,Sudeste Paraense,São Félix do Xingu
1507409,150740,São Francisco do Pará,PA,Nordeste Paraense,Bragantina
1507458,150745,São Geraldo do Araguaia,PA,Sudeste Paraense,Redenção
1507466,150746,São João da Ponta,PA,Nordeste Paraense,Salgado
1507474,150747,São João de Pirabas,PA,Nordeste Paraense,Salgado
1507508,150750,São João do Araguaia,PA,Sudeste Paraense,Marabá
1507607,150760,São Miguel do Guamá,PA,Nordeste Paraense,Guamá
1507706,150770,São Sebastião da Boa Vista,PA,Marajó,Furos de Breves
1507755,150775,Sapucaia,PA,Sudeste Paraense,Redenção
1507805,150780,Senador José Porfírio,PA,Sudoeste Paraense,Altamira
1507904,150790,Soure,PA,Marajó,Arari
1507953,150795,Tailândia,PA,Nordeste Paraense,Tomé-Açu
1507961,150796,Terra Alta,PA,Nordeste Paraense,Salgado
1507979,150797,Terra Santa,PA,Baixo Amazonas,Óbidos
1508001,150800,Tomé-Açu,PA,Nordeste Paraense,Tomé-Açu
1508035,150803,Tracuateua,PA,Nordeste Paraense,Bragantina
1508050,150805,Trairão,PA,Sudoeste Paraense,Itaituba
1508084,150808,Tucumã,PA,Sudeste Paraense,São Félix do Xingu
1508100,150810,Tucuruí,PA,Sudeste Paraense,Tucuruí
1508126,150812,Ulianópolis,PA,Sudeste Paraense,Paragominas
1508159,150815,Uruará,PA,Sudoeste Paraense,Altamira
1508209,150820,Vigia,PA,Nordeste Paraense,Salgado
1508308,150830,Viseu,PA,Nordeste Paraense,Guamá
1508357,150835,Vitória do Xingu,PA,Sudoeste Paraense,Altamira
1508407,150840,Xinguara,PA,Sudeste Paraense,Redenção
1600055,160005,Serra do Navio,AP,Sul do Amapá,Macapá
1600105,160010,Amapá,AP,Norte do Amapá,Amapá
1600154,160015,Pedra Branca do Amapari,AP,Sul do Amapá,Macapá
1600204,160020,Calçoene,AP,Norte do Amapá,Oiapoque
1600212,160021,Cutias,AP,Sul do Amapá,Macapá
1600238,160023,Ferreira Gomes,AP,Sul do Amapá,Macapá
1600253,160025,Itaubal,AP,Sul do Amapá,Macapá
1600279,160027,Laranjal do Jari,AP,Sul do Amapá,Mazagão
1600303,160030,Macapá,AP,Sul do Amapá,Macapá
1600402,160040,Mazagão,AP,Sul do Amapá,Mazagão
1600501,160050,Oiapoque,AP,Norte do Amapá,Oiapoque
1600535,160053,Porto Grande,AP,Sul do Amapá,Macapá
1600550,160055,Pracuúba,AP,Norte do Amapá,Amapá
1600600,160060,Santana,AP,Sul do Amapá,Macapá
1600709,160070,Tartarugalzinho,AP,Norte do Amapá,Amapá
1600808,160080,Vitória do Jari,AP,Sul do Amapá,Mazagão
1700251,170025,Abreulândia,TO,Ocidental do Tocantins,Miracema do Tocantins
1700301,170030,Aguiarnópolis,TO,Ocidental do Tocantins,Bico do Papagaio
1700350,170035,Aliança do Tocantins,TO,Ocidental do Tocantins,Gurupi
1700400,170040,Almas,TO,Oriental do Tocantins,Dianópolis
1700707,170070,Alvorada,TO,Ocidental do Tocantins,Gurupi
1701002,170100,Ananás,TO,Ocidental do Tocantins,Bico do Papagaio
1701051,170105,Angico,TO,Ocidental do Tocantins,Bico do Papagaio
1701101,170110,Aparecida do Rio Negro,TO,Oriental do Tocantins,Porto Nacional
1701309,170130,Aragominas,TO,Ocidental do Tocantins,Araguaína
1701903,170190,Araguacema,TO,Ocidental do Tocantins,Miracema do Tocantins
1702000,170200,Araguaçu,TO,Ocidental do Tocantins,Rio Formoso
1702109,170210,Araguaína,TO,Ocidental do Tocantins,Araguaína
1702158,170215,Araguanã,TO,Ocidental do Tocantins,Araguaína
1702208,170220,Araguatins,TO,Ocidental do Tocantins,Bico do Papagaio
1702307,170230,Arapoema,TO,Ocidental do Tocantins,Araguaína
1702406,170240,Arraias,TO,Oriental do Tocantins,Dianópolis
1702554,170255,Augustinópolis,TO,Ocidental do Tocantins,Bico do Papagaio
1702703,170270,Aurora do Tocantins,TO,Oriental do Tocantins,Dianópolis
1702901,170290,Axixá do Tocantins,TO,Ocidental do Tocantins,Bico do Papagaio
1703008,170300,Babaçulândia,TO,Ocidental do Tocantins,Araguaína
1703057,170305,Bandeirantes do Tocantins,TO,Ocidental do Tocantins,Araguaína
1703073,170307,Barra do Ouro,TO,Oriental do Tocantins,Jalapão
1703107,170310,Barrolândia,TO,Ocidental do Tocantins,Miracema do Tocantins
1703206,170320,Bernardo Sayão,TO,Ocidental do Tocantins,Miracema do Tocantins
1703305,170330,Bom Jesus do Tocantins,TO,Oriental do Tocantins,Porto Nacional
1703602,170360,Brasilândia do Tocantins,TO,Ocidental do Tocantins,Miracema do Tocantins
1703701,170370,Brejinho de Nazaré,TO,Ocidental do Tocantins,Gurupi
1703800,170380,Buriti do Tocantins,TO,Ocidental do Tocantins,Bico do Papagaio
1703826,170382,Cachoeirinha,TO,Ocidental do Tocantins,Bico do Papagaio
1703842,170384,Campos Lindos,TO,Oriental do Tocantins,Jalapão
1703867,170386,Cariri do Tocantins,TO,Ocidental do Tocantins,Gurupi
1703883,170388,Carmolândia,TO,Ocidental do Tocantins,Araguaína
1703891,170389,Carrasco Bonito,TO,Ocidental do Tocantins,Bico do Papagaio
1703909,170390,Caseara,TO,Ocidental do Tocantins,Miracema do Tocantins
1704105,170410,Centenário,TO,Oriental do Tocantins,Jalapão
1704600,170460,Chapada de Areia,TO,Ocidental do Tocantins,Rio Formoso
1705102,170510,Chapada da Natividade,TO,Oriental do Tocantins,Dianópolis
1705508,170550,Colinas do Tocantins,TO,Ocidental do Tocantins,Araguaína
1705557,170555,Combinado,TO,Oriental do Tocantins,Dianópolis
1705607,170560,Conceição do Tocantins,TO,Oriental do Tocantins,Dianópolis
1706001,170600,Couto Magalhães,TO,Ocidental do Tocantins,Miracema do Tocantins
1706100,170610,Cristalândia,TO,Ocidental do Tocantins,Rio Formoso
1706258,170625,Crixás do Tocantins,TO,Ocidental do Tocantins,Gurupi
1706506,170650,Darcinópolis,TO,Ocidental do Tocantins,Bico do Papagaio
1707009,170700,Dianópolis,TO,Oriental do Tocantins,Dianópolis
1707108,170710,Divinópolis do Tocantins,TO,Ocidental do Tocantins,Miracema do Tocantins
1707207,170720,Dois Irmãos do Tocantins,TO,Ocidental do Tocantins,Miracema do Tocantins
1707306,170730,Dueré,TO,Ocidental do Tocantins,Rio Formoso
1707405,170740,Esperantina,TO,Ocidental do Tocantins,Bico do Papagaio
1707553,170755,Fátima,TO,Ocidental do Tocantins,Rio Formoso
1707652,170765,Figueirópolis,TO,Ocidental do Tocantins,Gurupi
1707702,170770,Filadélfia,TO,Ocidental do Tocantins,Araguaína
1708205,170820,Formoso do Araguaia,TO,Ocidental do Tocantins,Rio Formoso
1708254,170825,Tabocão,TO,Ocidental do Tocantins,Miracema do Tocantins
1708304,170830,Goianorte,TO,Ocidental do Tocantins,Miracema do Tocantins
1709005,170900,Goiatins,TO,Oriental do Tocantins,Jalapão
1709302,170930,Guaraí,TO,Ocidental do Tocantins,Miracema do Tocantins
1709500,170950,Gurupi,TO,Ocidental do Tocantins,Gurupi
1709807,170980,Ipueiras,TO,Oriental do Tocantins,Porto Nacional
1710508,171050,Itacajá,TO,Oriental do Tocantins,Jalapão
1710706,171070,Itaguatins,TO,Ocidental do Tocantins,Bico do Papagaio
1710904,171090,Itapiratins,TO,Oriental do Tocantins,Jalapão
1711100,171110,Itaporã do Tocantins,TO,Ocidental do Tocantins,Miracema do Tocantins
1711506,171150,Jaú do Tocantins,TO,Ocidental do Tocantins,Gurupi
1711803,171180,Juarina,TO,Ocidental do Tocantins,Miracema do Tocantins
1711902,171190,Lagoa da Confusão,TO,Ocidental do Tocantins,Rio Formoso
1711951,171195,Lagoa do Tocantins,TO,Oriental do Tocantins,Jalapão
1712009,171200,Lajeado,TO,Oriental do Tocantins,Porto Nacional
1712157,171215,Lavandeira,TO,Oriental do Tocantins,Dianópolis
1712405,171240,Lizarda,TO,Oriental do Tocantins,Jalapão
1712454,171245,Luzinópolis,TO,Ocidental do Tocantins,Bico do Papagaio
1712504,171250,Marianópolis do Tocantins,TO,Ocidental do Tocantins,Miracema do Tocantins
1712702,171270,Mateiros,TO,Oriental do Tocantins,Jalapão
1712801,171280,Maurilândia do Tocantins,TO,Ocidental do Tocantins,Bico do Papagaio
1713205,171320,Miracema do Tocantins,TO,Ocidental do Tocantins,Miracema do Tocantins
1713304,171330,Miranorte,TO,Ocidental do Tocantins,Miracema do Tocantins
1713601,171360,Monte do Carmo,TO,Oriental do Tocantins,Porto Nacional
1713700,171370,Monte Santo do Tocantins,TO,Ocidental do Tocantins,Miracema do Tocantins
1713809,171380,Palmeiras do Tocantins,TO,Ocidental do Tocantins,Bico do Papagaio
1713957,171395,Muricilândia,TO,Ocidental do Tocantins,Araguaína
1714203,171420,Natividade,TO,Oriental do Tocantins,Dianópolis
1714302,171430,Nazaré,TO,Ocidental do Tocantins,Bico do Papagaio
1714880,171488,Nova Olinda,TO,Ocidental do Tocantins,Araguaína
1715002,171500,Nova Rosalândia,TO,Ocidental do Tocantins,Rio Formoso
1715101,171510,Novo Acordo,TO,Oriental do Tocantins,Jalapão
1715150,171515,Novo Alegre,TO,Oriental do Tocantins,Dianópolis
1715259,171525,Novo Jardim,TO,Oriental do Tocantins,Dianópolis
1715507,171550,Oliveira de Fátima,TO,Ocidental do Tocantins,Rio Formoso
1715705,171570,Palmeirante,TO,Ocidental do Tocantins,Araguaína
